2 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,,,,,,,,,,,,,,,,,
circle,0.210524227,0.789475773,,,,,,,,,,,,,,,,,
triangle,0.20367893,0.79632107,,,,,,,,,,,,,,,,,
diamond,0.183333333,0.816666667,,,,,,,,,,,,,,,,,
inverted_triangle,0.223148148,0.776851852,,,,,,,,,,,,,,,,,
octagon,0.012820513,0.987179487,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.662379823,0.228118367,0.04807092,0.060182295,0.001248595,,,,,,,,,,,,,,
cluster 1,0.637628205,0.228942308,0.054967949,0.053782051,0.024679487,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
3 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,,,,,,,,,,,,,,,,
13 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,,,,,,
circle,0.112623517,0.190364697,0.000198421,0.087106631,0.092424303,0.254811699,0.125124013,3.97E-05,3.97E-05,0.020278582,0.004762094,0.001904837,0.110321838,,,,,,
triangle,0,0.002564103,0.248494983,0.005462653,0.002898551,0,0.023745819,0.254738016,0.000445931,0.008026756,0.388294314,0.065217391,0.000111483,,,,,,
diamond,0.262857143,0.282857143,0,0.065714286,0.02047619,0.089047619,0.058095238,0,0.001904762,0.015238095,0.002380952,0,0.201428571,,,,,,
inverted_triangle,0,0.070833333,0,0.047685185,0,0,0.024537037,0,0.816203704,0.029166667,0.00462963,0.000925926,0.006018519,,,,,,
octagon,0.006410256,0.4,0,0.001282051,0.01025641,0.183333333,0.017948718,0,0,0,0.001282051,0,0.379487179,,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.835935199,0,0.162592047,0,0.001472754,,,,,,,,,,,,,,
cluster 1,0.815955094,0.00391223,0.101037591,0.026024834,0.05307025,,,,,,,,,,,,,,
cluster 2,0.002238138,0.997761862,0,0,0,,,,,,,,,,,,,,
cluster 3,0.882944489,0.019710378,0.055510861,0.041432019,0.000402253,,,,,,,,,,,,,,
cluster 4,0.967996675,0.010806318,0.017871987,0,0.003325021,,,,,,,,,,,,,,
cluster 5,0.951118353,0,0.0276996,0,0.021182047,,,,,,,,,,,,,,
cluster 6,0.886919831,0.059915612,0.034317862,0.014908579,0.003938115,,,,,,,,,,,,,,
cluster 7,0.000437445,0.999562555,0,0,0,,,,,,,,,,,,,,
cluster 8,0.000564334,0.002257336,0.002257336,0.994920993,0,,,,,,,,,,,,,,
cluster 9,0.753687316,0.10619469,0.04719764,0.092920354,0,,,,,,,,,,,,,,
cluster 10,0.033158331,0.962420558,0.001381597,0.002763194,0.000276319,,,,,,,,,,,,,,
cluster 11,0.075590551,0.921259843,0,0.003149606,0,,,,,,,,,,,,,,
cluster 12,0.791346428,0.000284657,0.120409906,0.003700541,0.084258469,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
14 clusters,,,,,,,,,,,,,,,,,,,
% of total shape images in cluster,,,,,,,,,,,,,,,,,,,
shape/cluster,cluster 0,cluster 1,cluster 2,cluster 3,cluster 4,cluster 5,cluster 6,cluster 7,cluster 8,cluster 9,cluster 10,cluster 11,cluster 12,cluster 13,,,,,
circle,0.00404778,0.001666733,0.242628676,0.079646018,7.94E-05,0.017024485,0.179570618,0.119052343,0.095559348,0.063970792,0.089130521,0.107385214,3.97E-05,0.000198421,,,,,
triangle,0.381716834,0.064659978,0,0.034894091,0.254738016,0.008249721,0.00245262,0,0.002898551,0.005128205,0.001895206,0.000111483,0.000445931,0.242809365,,,,,
diamond,0.002380952,0,0.09,0.052857143,0,0.011904762,0.27952381,0.237619048,0.026666667,0.052857143,0.045238095,0.199047619,0.001904762,0,,,,,
inverted_triangle,0.003703704,0.000925926,0,0.032407407,0,0.021296296,0.070833333,0,0.001388889,0.056944444,0.000462963,0.006018519,0.806018519,0,,,,,
octagon,0.001282051,0,0.153846154,0.016666667,0,0,0.414102564,0.011538462,0.017948718,0.001282051,0.001282051,0.382051282,0,0,,,,,
,,,,,,,,,,,,,,,,,,,
% of cluster made up of shape,,,,,,,,,,,,,,,,,,,
cluster/shape,circle,triangle,diamond,inverted_triangle,octagon,,,,,,,,,,,,,,
cluster 0,0.028813559,0.967231638,0.001412429,0.002259887,0.000282486,,,,,,,,,,,,,,
cluster 1,0.067307692,0.929487179,0,0.003205128,0,,,,,,,,,,,,,,
cluster 2,0.951891639,0,0.029425502,0,0.018682858,,,,,,,,,,,,,,
cluster 3,0.798329356,0.124502784,0.044152745,0.027844073,0.005171042,,,,,,,,,,,,,,
cluster 4,0.000874508,0.999125492,0,0,0,,,,,,,,,,,,,,
cluster 5,0.74738676,0.128919861,0.043554007,0.080139373,0,,,,,,,,,,,,,,
cluster 6,0.806595365,0.003921569,0.104634581,0.027272727,0.057575758,,,,,,,,,,,,,,
cluster 7,0.855188141,0,0.142246294,0,0.002565564,,,,,,,,,,,,,,
cluster 8,0.96051057,0.010370961,0.022337455,0.001196649,0.005584364,,,,,,,,,,,,,,
